1767195791917 || ::1 || POST || /api/users
1767195833407 || ::1 || POST || /users
1767219083460 || ::1 || POST || /users
1767219106482 || ::1 || POST || /users
1767219116146 || ::1 || GET || /api/users
1767219186177 || ::1 || POST || /api/users
1767219224999 || ::1 || GET || /api/users
1767219245681 || ::1 || DELETE || /api/users/69552606795305c9fc400379
1767219255832 || ::1 || GET || /api/users
1767219308434 || ::1 || POST || /api/users
1767219313263 || ::1 || GET || /api/users
1767219431888 || ::1 || GET || /api/users/695526888fe87aaf1c9b7a21
1767219443469 || ::1 || PATCH || /api/users/695526888fe87aaf1c9b7a21
1767219507843 || ::1 || PATCH || /api/users/695526888fe87aaf1c9b7a21
1767219533541 || ::1 || GET || /api/users
1767219667385 || ::1 || PATCH || /api/users/695526888fe87aaf1c9b7a21
1767219692844 || ::1 || GET || /api/users
1767219782981 || ::1 || PATCH || /api/users/695526888fe87aaf1c9b7a21
1767219840199 || ::1 || PATCH || /api/users/695526888fe87aaf1c9b7a21
1767219845658 || ::1 || GET || /api/users
